Nom du produit,Marque,Type CPU,Implémentation CPU,Référence,Stockage,RAM,Taille écran,Prix,Site web,Catégorie
"Acer Aspire 3 A315-44P-R8B9, AMD Ryzen™ 7, 1,8 GHz, 39,6 cm (15.6""), 1920 x 1080 pixels, 16 Go, 512 Go",Acer,AMD Ryzen 7,5700U,NX.KSJEH.009,512 GB,16 GB,15.6 Inch,599,bol.com,ORDINATEUR
"HP 15s-fq5723nd - Ordinateur portable - 15,6 pouces",HP,Intel Core i3,i3-1215U,8Y7N4EA,256 GB,8 GB,15.6 Inch,350,bol.com,ORDINATEUR
Acer Aspire 3 | A315-59-566S,Acer,Intel Core i5,1235U,NX.K6SEH.003,512 GB,8 GB,15.6 Inch,449,bol.com,ORDINATEUR
"MSI Stealth 18 AI Studio A1VIG-050NL - Ordinateur portable 18"" WQUXGA - Intel Core Ultra 9 185H - NVIDIA GeForce RTX 4090 - 32 GB DDR5 - 2 To SSD - Windows 11 Pro - Zwart",MSI,,14900HX,9S7-183111-050,2000 GB,32 GB,18 Inch,3899,bol.com,ORDINATEUR
"Lenovo V15 G4 IRU (83A1007CRM) 15,6 IPS F- HD / i3-1315U / 8 Go / 256 Go / Windows 11 Pro",Lenovo,Intel Core i3,1315U,83A1007CRM,256 GB,8 GB,15.6 Inch,379,bol.com,ORDINATEUR
Acer Chromebook 314 CB314-1H-C57A - 14 pouces,Acer,Intel Celeron,N4100,NX.HKDEH.00E,64 GB,4 GB,14 Inch,329,bol.com,ORDINATEUR
Ordinateur portable HP 830 G7 | Intel Core i5 | 16 Go de mémoire DDR4 | SSD 256 Go | Windows 11 Pro | Retour 2 école,HP,Intel Core i5,10210U,8PV73AV,256 GB,16 GB,13.3 Inch,625,bol.com,ORDINATEUR
"Acer Extensa 15 EX215-54-36TM 15,6 Full HD/ i3-1115G4 / 8 Go / 256 Go SSD / Windows 11 Pro",Acer,Intel Core i3,intel Core i3-1115G4,NX.EGJEP.00K,512 GB,8 GB,15.6 Inch,369,bol.com,ORDINATEUR
"Lenovo IdeaPad Gaming 3 - Ordinateur portable - 15,6"" Full HD - AMD Ryzen 5 5500H - NVIDIA GeForce RTX 2050 - 16 GB DDR4 - 512 GB SSD - Windows 11 Home - QWERTY",Lenovo,AMD Ryzen 5,5500H,82K202BWMH,512 GB,16 GB,15.6 Inch,602,bol.com,ORDINATEUR
"MSI Cyborg 15 A12VF-003NL-1TB-32GB DDR5 - Gaming - 15,6 pouces - 144 Hz",MSI,Intel Core i7,i7-12650H,MSI Cyborg 15 A12VF-003NL-1TB-32GB,2000 GB,32 GB,15.6 Inch,1249,bol.com,ORDINATEUR
"Intel N N100 (6 Mo de cache), 4 Go LPDDR5-SDRAM, 128 Go Flash, écran LCD HD 29,5 cm (11,6"") HD 366 x 768, Graphiques Intel UHD, LAN, WLAN, Webcam, Windows 11 Pro Education 64 bits",ASUS,,N100,90NX07M1-M003J0,128 GB,4 GB,11.6 Inch,294,bol.com,ORDINATEUR
"Ordinateur portable Hot Pepper Chili R14B - 512 Go - 16 Go - 3,4 GHz - Quad Core - QWERTY",Hot Pepper,Intel Celeron,N100,R14B,512 GB,16 GB,14 Inch,375,bol.com,ORDINATEUR
SKIKK Idavoll II - Ordinateur portable 17 pouces en déplacement avec DVD R/W et VGA,Skikk,Intel Core i7,1355U,Idavoll-II,1000 GB,32 GB,17.3 Inch,949,bol.com,ORDINATEUR
"Ordinateur portable 15-fc0035nd, Windows 11 Home en mode S, 15,6"", AMD Ryzen™ 3, 8 Go de RAM, 256 Go de SSD, FHD, argent naturel",HP,AMD Ryzen 3,7320U,832Y6EA#ABH,256 GB,8 GB,15.6 Inch,444,bol.com,ORDINATEUR
HP ProBook 460 G11 - ordinateur portable professionnel - 16 FHD - Ultra5-125U - 16 Go - 512 Go - Caméra IR - W11P - Éclairage du clavier - Garantie sur site 3 ans,HP,,125U,9G1V1ET,512 GB,16 GB,16 Inch,870,bol.com,ORDINATEUR
"Intel Core i5-12450H (12 Mo de cache), 16 Go DDR4-SDRAM, 512 Go SSD, 39,6 cm (15,6"") Full HD 1920 x 1080, Graphiques Intel UHD, NVIDIA GeForce RTX 3050 (4 Go GDDR6), LAN, WLAN, Webcam, Windows 11 Home",MSI,Intel Core i5,i5-12450H,9S7-16R831-1255,512 GB,16 GB,15.6 Inch,699,bol.com,ORDINATEUR
"Fujitsu LIFEBOOK U7512, Intel® Core™ i5, 39,6 cm (15.6""), 1920 x 1080 pixels, 8 Go, 256 Go, Windows 11 Pro",Fujitsu,Intel Core i5,i5-1235U,VFY:U7512MF5IMNL,256 GB,8 GB,15.6 Inch,399,bol.com,ORDINATEUR
"13.6"" Retina, IPS, 2560 x 1664px, Apple M3 (8-core CPU, 10-core GPU, 16-core Neural Engine), 16GB, 512GB SSD, 2x Thunderbolt/USB 4, 802.11ax Wi-Fi 6E, Bluetooth 5.3, macOS",Apple,Apple M3,M3,MXCU3N/A,512 GB,16 GB,13.6 Inch,1356,bol.com,ORDINATEUR
Lenovo IdeaPad Slim 3 - 82XB0086MH,Lenovo,,N100,82XB0086MH,128 GB,4 GB,15.6 Inch,259,bol.com,ORDINATEUR
"Lenovo V V14, AMD Ryzen™ 5, 2,8 GHz, 35,6 cm (14""), 1920 x 1080 pixels, 8 Go, 256 Go",Lenovo,AMD Ryzen 5,7520U,82YT00M3MH,256 GB,8 GB,14 Inch,430,bol.com,ORDINATEUR
Lenovo IdeaPad 1 15ALC7,Lenovo,AMD Ryzen 5,5625U,82R400WPMH,512 GB,16 GB,15.6 Inch,449,bol.com,ORDINATEUR
"HP Probook 450 G10 - ordinateur portable professionnel - 15,6 FHD - i7-1355U - 16 Go - 1 To - RTX2050 - W11P - Éclairage du clavier - Garantie 3 ans",HP,Intel Core i7,i7-1355U,816A3EA#ABB,1000 GB,16 GB,15.6 Inch,1299,bol.com,ORDINATEUR
"Ordinateur portable HP 15-fd1080nd, Windows 11 Home, 15,6"", Intel Core™ 7, 16 Go de RAM, SSD 1 To, FHD, argent naturel",HP,Intel Core i7,150U,A12N7EA#ABH,1000 GB,16 GB,15.6 Inch,945,bol.com,ORDINATEUR
"MEDION AKOYA E15423, Intel® Core™ i3, 39,6 cm (15.6""), 1920 x 1080 pixels, 8 Go, 256 Go, Windows 11 Home",MEDION,Intel Core i3,i3-1115G4,30035717,256 GB,8 GB,15.6 Inch,364,bol.com,ORDINATEUR
Ordinateur portable Acer ASPIRE 1 A114-33-C0L1 (Argent) - Intel Celeron - 128 GB de mémoire Flash,Acer,Intel Celeron,N4500,A114-33-C0L1,128 GB,4 GB,14 Inch,310,bol.com,ORDINATEUR
MSI Sword 17 HX B14VFKG-008NL - Ordinateur portable de Gaming - 17 pouces - 165 Hz,MSI,Intel Core i9,14900HX,9S7-17T214-008,1000 GB,16 GB,17 Inch,1454,bol.com,ORDINATEUR
HP EliteBook 650 G10 - ordinateur portable professionnel - 16 FHD - i5-1335U - 16 Go - 512 Go - W11P - 3 ans NBD - éclairage du clavier,HP,Intel Core i5,i5-1335U,7L740ET#ABB,512 GB,16 GB,15.6 Inch,1029,bol.com,ORDINATEUR
Acer Nitro 5 AN515-58-93PK,Acer,Intel Core i9,i9-12900H,NH.QM0EH.00C,1000 GB,32 GB,15.6 Inch,1399,bol.com,ORDINATEUR
"Lenovo 500e Yoga Chromebook, Intel® N, 0,8 GHz, 31 cm (12.2""), 1920 x 1200 pixels, 4 Go, 32 Go",Lenovo,Intel Celeron,N100,82W40000MH,32 GB,4 GB,12.2 Inch,353,bol.com,ORDINATEUR
"Asus Vivobook 15 X1504ZA - 15,6 pouces - Ordinateur portable - Intel Core I5-1235U - 16 GB - SSD 512 GB - Windows 11 - Blauw",ASUS,Intel Core i5,i5-1235U,Vivobook 15 - X1504Z,512 GB,16 GB,15.6 Inch,501,bol.com,ORDINATEUR
"Medion AKOYA E16433 MD62604 NL 16"" IPS, 1920 x 1080p, Intel Core i7-1255U, 16 Go DDR4, 1 To",MEDION,Intel Core i7,i7-1255U,30036835,1000 GB,16 GB,16 Inch,698,bol.com,ORDINATEUR
ASUS VivoBook Go 15 | E1504FA-NJ305W,ASUS,AMD Ryzen 5,7520U,E1504FA,512 GB,8 GB,15.6 Inch,389,bol.com,ORDINATEUR
ASUS ProArt P16 H7606WI-ME006X - AZERTY,ASUS,,370,90NB1421-M00760,1000 GB,32 GB,16 Inch,2576,bol.com,ORDINATEUR
"Microsoft Surface 7 - Ordinateur portable CoPilot+ - Écran tactile 13,8 pouces - Snapdragon X Plus/16 Go de RAM/256 Go SSD - Platinum",Microsoft,Qualcomm Snapdragon X Plus,X1P-64-100,ZGJ-00009,256 GB,16 GB,13.8 Inch,1199,bol.com,ORDINATEUR
"Lenovo Legion Slim 5, AMD Ryzen™ 7, 3,8 GHz, 40,6 cm (16""), 2560 x 1600 pixels, 16 Go, 512 Go",Lenovo,AMD Ryzen 7,7840HS,82Y9008PMH,512 GB,16 GB,16 Inch,1309,bol.com,ORDINATEUR
"Lenovo V15 G4 AMN - 15,6"" FHD AG - Ryzen 5-7520U - 16 Go DDR5 - 512 Go SSD M.2 - Windows 11 Home",Lenovo,AMD Ryzen 5,7520U,82YU0132PB,512 GB,16 GB,15.6 Inch,499,bol.com,ORDINATEUR
"MSI Cyborg 15 A12VE-695NL i7-12650H, 16 Go de RAM DDR5, SSD 1 To, NVIDIA GeForce RTX 4050",MSI,Intel Core i7,i7-12650H,MSI Cyborg 15 A12VE-695NL-1TB,1000 GB,16 GB,15.6 Inch,999,bol.com,ORDINATEUR
Acer Extensa 15 EX215-54-58TN,Acer,Intel Core i5,i5-1135G7,NX.EGJEH.00G,512 GB,8 GB,15.6 Inch,419,bol.com,ORDINATEUR
"Ordinateur portable HP 15-fc0155nd AMD Ryzen™ 5 7520U 39,6 cm (15.6"") Full HD 16 GB LPDDR5-SDRAM 512 GB SSD Wi-Fi 6 (802.11ax) Windows 11 Home Grijs",HP,AMD Ryzen 5,7520U,B32BQEA#ABH,512 GB,16 GB,15.6 Inch,469,bol.com,ORDINATEUR
Acer Aspire Go 17 AG17-31P-37K8 - AZERTY,Acer,,N355,NX.J45EH.004,1000 GB,16 GB,17.3 Inch,599,bol.com,ORDINATEUR
Acer Aspire 5 17 A517-58M-78K7,Acer,Intel Core i7,1355U,NX.KHNEH.007,512 GB,16 GB,17.3 Inch,849,bol.com,ORDINATEUR
HP,HP,Intel Core i5,i5-12450H,9T9R8UA,512 GB,8 GB,15.6 Inch,699,bol.com,ORDINATEUR
"Gaming Acer Nitro V 15 ANV15-51-51H9 | Intel Core i5-13420H | 8Go | SSD de 512 Go | 15,6 Full HD (1 920 x 1 080) 144 Hz | Graphiques Nvidia GeForce RTX 4050 6 Go | Clavier éclairé | Win 11 Home | Housse Acer Nitro incluse | QWERTY",Acer,Intel Core i5,13420H,NH.QN8AA.006,512 GB,8 GB,15.6 Inch,799,bol.com,ORDINATEUR
Lenovo IdeaPad Slim 5 14Q8X9 83HL004JMH - Ordinateur portable Copilot+ - 14 pouces,Lenovo,Qualcomm Snapdragon X Plus,X1P-42-100,83HL004JMH,512 GB,16 GB,14 Inch,749,bol.com,ORDINATEUR
"Lenovo V V15, AMD Ryzen™ 5, 2,8 GHz, 39,6 cm (15.6""), 1920 x 1080 pixels, 8 Go, 512 Go",Lenovo,AMD Ryzen 5,7520U,V15 G4 AMN,512 GB,8 GB,15.6 Inch,401,bol.com,ORDINATEUR
Lenovo IdeaPad Slim 3 15IAH8 (83ER0006PB) - Garantie 3 ans,Lenovo,Intel Core i5,i5-12450H,83ER0006PB,512 GB,8 GB,15.6 Inch,479,bol.com,ORDINATEUR
"ASUS ROG GV601VI-NL016W, Intel® Core™ i9, 40,6 cm (16""), 2560 x 1600 pixels, 32 Go, 1 To, Windows 11 Home",ASUS,Intel Core i9,i9-13900H,90NR0G01-M001Y0,1000 GB,32 GB,16 Inch,,bol.com,ORDINATEUR
"Intel Core i7-1355U (1,7 GHz, 12 Mo L3), 43,9 cm (17,3"") FHD IPS (1 920 x 1 080), 32 Go SDRAM LPDDR5, SSD PCIe NVMe 1 To, Graphiques Intel Iris Xe, Wi-Fi 6E AX (2x2) + BT, Windows 11 Home, Rétroéclairé US Int",Acer,Intel Core i7,i7-1355U,NX.KHNEH.00B,1000 GB,32 GB,17.3 Inch,1005,bol.com,ORDINATEUR
"MSI Cyborg 15 A13VE-693NL, Intel Core i7-13620H (24 Mo de cache), 16 Go DDR5-SDRAM, 512 Go SSD, 39,6 cm (15,6"") Full HD 1920 x 1080, Graphiques Intel UHD, NVIDIA GeForce RTX 4050 (6 Go GDDR6), Réseau local, Wi-Fi, Webcam, Windows 11 Home",MSI,Intel Core i7,13620H,CYBORG 15 A13VE-693NL,512 GB,16 GB,15.6 Inch,944,bol.com,ORDINATEUR
"Acer Aspire 5 A515-57-70C0, Intel® Core™ i7, 2,3 GHz, 39,6 cm (15.6""), 1920 x 1080 pixels, 16 Go, 512 Go",Acer,Intel Core i7,i7-12650H,NX.KN4EH.004,512 GB,16 GB,15.6 Inch,685,bol.com,ORDINATEUR
"Lenovo IdeaPad 3 Intel - Ordinateur portable - Home "" Full HD Graphiques - Intel Core i5-1235U - Intel GB",Lenovo,Intel Core i5,1235U,82RL008SMH,512 GB,16 GB,17.3 Inch,699,bol.com,ORDINATEUR
Lenovo Légion 7 - 83FD0071MH,Lenovo,Intel Core i9,i9-14900HX,83FD0071MH,1000 GB,32 GB,16 Inch,2279,bol.com,ORDINATEUR
"MSI Modern 15 B7M-049NL, AMD Ryzen™ 7, 2 GHz, 39,6 cm (15.6""), 1920 x 1080 pixels, 16 Go, 512 Go",MSI,AMD Ryzen 7,7730U,15 B7M-049NL,512 GB,16 GB,15.6 Inch,569,bol.com,ORDINATEUR
Acer Predator Helios Neo 16 PHN16-72-920V,Acer,Intel Core i9,i9-14900HX,NH.QQUEH.004,2000 GB,32 GB,16 Inch,1997,bol.com,ORDINATEUR
"ASUS ROG Zephyrus G14 (2024) GA403UV-QS020W AMD Ryzen 9 8945HS (24 Mo de cache, 4 GHz), 16 Go LPDDR5x-SDRAM, 1000 Go SSD, 35,6 cm (14"") 3K 2880 x 1800 OLED, NVIDIA GeForce RTX 4060, 8 Go GDDR6",ASUS,AMD Ryzen 9,8945HS,90NR0I01-M002N0,1000 GB,16 GB,14 Inch,1701,bol.com,ORDINATEUR
"MSI Cyborg 15 A12VE-695NL i7-12650H, 16 Go de RAM DDR5, 512 Go de SSD, NVIDIA GeForce RTX 4050",MSI,Intel Core i7,i7-12650H,CYBORG 15 A12VE-695NL,512 GB,16 GB,15.6 Inch,949,bol.com,ORDINATEUR
"ASUS X515EA-EJ4325W, Intel® Core™ i5, 2,4 GHz, 39,6 cm (15.6""), 1920 x 1080 pixels, 16 Go, 512 Go",ASUS,Intel Core i5,i5-1135G7,90NB0TY1-M04SV0,512 GB,16 GB,15.6 Inch,483,bol.com,ORDINATEUR
HP Omen 16-wf1085nd,HP,Intel Core i7,i7-14700HX,9U5U8EA#ABH,2000 GB,32 GB,16.1 Inch,1899,bol.com,ORDINATEUR
"ACER Aspire 3 15 A315-510P-C60F - 15,6 pouces - Processeur Intel N100 - 4 GB - 128 GB",Acer,Intel Celeron,N100,A315-510P-C60F,128 GB,4 GB,15.6 Inch,287,bol.com,ORDINATEUR
Lenovo Legion 5 16IRX9 - Ordinateur portable de Gaming - 16 pouces - 165Hz,Lenovo,Intel Core i7,13650HX,83DG00FAMH,512 GB,16 GB,16 Inch,1256,bol.com,ORDINATEUR
"ASUS TUF Gaming A15 FA506NF-HN008W - Ordinateur portable - 15,6"" Full HD - 144 Hz - AMD Ryzen 5 7535H - NVIDIA GeForce RTX 2050 - 16 GB DDR5 - 512 GB SSD - Windows 11 Home - tsb Dutch QWERTY - Zwart",ASUS,AMD Ryzen 5,7535H,90NR0JE7-M000E0,512 GB,16 GB,15.6 Inch,840,bol.com,ORDINATEUR
Microsoft Surface Pro 11 - Ordinateur portable CoPilot+ - Écran tactile 13 pouces - Snapdragon X Plus/16 Go de RAM/256 Go SSD - Platinum,Microsoft,Qualcomm Snapdragon X Plus,X1P-64-100,0664404552413,256 GB,16 GB,13 Inch,1119,bol.com,ORDINATEUR
"Intel Core i7-13620H (24 Mo de cache), 16 Go DDR5-SDRAM, 1 000 Go SSD, 43,9 cm (17,3"") Full HD 1920 x 1080, Graphiques Intel UHD, NVIDIA GeForce RTX 4070 (8 Go GDDR6), LAN, WLAN, Webcam, Windows 11 Home",MSI,Intel Core i7,i7-13620H,9S7-17L541-1058,1000 GB,16 GB,17.3 Inch,1359,bol.com,ORDINATEUR
ASUS Vivobook Go 15 E1504GA-NJ046W,ASUS,Intel Core i3,i3-N305,90NB0ZT1-M00X70,256 GB,8 GB,15.6 Inch,385,bol.com,ORDINATEUR
HP Probook 440 G10 - Ordinateur portable professionnel - 14 FHD - i7-1355U - 16 Go - 512 Go - W11P - Éclairage clavier - Garantie 5 ans,HP,Intel Core i7,i7-1355U,816G9EA#ABB,512 GB,16 GB,14 Inch,999,bol.com,ORDINATEUR
ASUS VivoBook X1605VA-MB183W - AZERTY,ASUS,Intel Core i9,i9-13900H,90NB10N3-M00700,1000 GB,16 GB,16 Inch,1039,bol.com,ORDINATEUR
ASUS M1605YA-MB556W,ASUS,AMD Ryzen 5,7430U,M1605YA,512 GB,16 GB,16 Inch,631,bol.com,ORDINATEUR
"Acer Aspire 5 15 A515-58P-54SU - Ordinateur portable - 15,6 pouces",Acer,Intel Core i5,i5-1335U,NX.KHJEH.00L,512 GB,16 GB,15.6 Inch,660,bol.com,ORDINATEUR
Medion Erazer Defender P50 MD62587 - i7-12650H - 16 Go - 512 Go - RTX 4060 - W11 - Gaming,Medion Erazer,Intel Core i7,Intel® Core™ i7-12650H,30036572,512 GB,16 GB,17.3 Inch,999,bol.com,ORDINATEUR
"Lenovo IdeaPad Slim 3 15IAH8 - 15,6 pouces F- HD - i5-12450H - 8 Go - 512 Go SSD - Windows 11",Lenovo,Intel Core i5,i5-12450H,15IAH8,512 GB,8 GB,15.6 Inch,479,bol.com,ORDINATEUR
"HP Pavilion 15-eg3070nd, Windows 11 Home, 15,6"", Intel Core™ i5, 16 Go de RAM, 512 Go SSD, FHD, argent naturel",HP,Intel Core i5,i5-1335U,8Y7M5EA#ABH,512 GB,16 GB,15.6 Inch,719,bol.com,ORDINATEUR
Katana 17 B13VFK-1060NL - Ordinateur portable de Gaming - 17 pouces - 144 Hz,MSI,Intel Core i7,i7-13620H,9S7-17L541-1060,1000 GB,16 GB,17.3 Inch,1156,bol.com,ORDINATEUR
"Lenovo V15 G4 15,6 F- HD / RYZEN 3 7320U / 8 Go / 256 Go / W11P",Lenovo,AMD Ryzen 3,7320U,82YU00YWRM,256 GB,8 GB,15.6 Inch,395,bol.com,ORDINATEUR
"HP ProBook 460 16 inch G11 Notebook PC, Intel Core Ultra 7, 40,6 cm (16""), 1920 x 1200 pixels, 32 Go, DDR5-SDRAM",HP,,155U,A1LE0UT,512 GB,32 GB,16 Inch,1099,bol.com,ORDINATEUR
"HP Victus 16-r0035nd - Ordinateur portable de Gaming - 16,1 pouces - 165 Hz",HP,Intel Core i7,13620H,A12MNEA#ABH,1000 GB,16 GB,16.1 Inch,1324,bol.com,ORDINATEUR
"Intel Core i9-14900HX (36 Mo de cache), 32 Go DDR5-SDRAM, 1 000 Go SSD, 45,7 cm (18"") WQUXGA 3840 x 2400 Mini LED , Graphiques Intel UHD, NVIDIA GeForce RTX 4070 (8 Go GDDR6), WLAN, Webcam, Windows 11 Home",MSI,Intel Core i9,i9-14900HX,9S7-182362-005,1000 GB,32 GB,18 Inch,2399,bol.com,ORDINATEUR
"Acer Aspire 3 15 A315-24P-R3SA, AMD Ryzen™ 3, 2,4 GHz, 39,6 cm (15.6""), 1920 x 1080 pixels, 8 Go, 256 Go",Acer,AMD Ryzen 3,7320U,NX.KJDEH.002,256 GB,8 GB,15.6 Inch,369,bol.com,ORDINATEUR
Acer Aspire 5 17 A517-58GM-79UR,Acer,Intel Core i7,i7-1355U,NX.KJLEH.00J,1000 GB,32 GB,17.3 Inch,1249,bol.com,ORDINATEUR
Samsung Galaxy Book4 Pro - NP940XGK-KG2NL,Samsung,,155H,NP940XGK-KG2NL,512 GB,16 GB,14 Inch,1599,bol.com,ORDINATEUR
"Intel Core i3-1215U (1,2 GHz, 10 Mo L3), 35,6 cm (14"") FHD IPS ComfyView (1 920 x 1 080), 8 Go de SDRAM DDR4, SSD PCIe NVMe de 512 Go, Graphiques Intel UHD, Wi-Fi 6E AX (2x2) + BT, Windows 11 Home, Clavier QWERTY rétroéclairé",Acer,Intel Core i3,i3-1215U,NX.K5BEH.00C,512 GB,8 GB,14 Inch,469,bol.com,ORDINATEUR
"Apple MacBook Pro 16,2"" - M4 Max, processeur 16 Core , GPU 40 cœurs, 48 ​​Core de RAM, SSD 1 To, Qwerty, Zwart",Apple,Apple M4 Pro,16 core,MX313N/A,1000 GB,48 GB,16.2 Inch,4748,bol.com,ORDINATEUR
"Lenovo V V15, Intel® Core™ i5, 39,6 cm (15.6""), 1920 x 1080 pixels, 8 Go, 512 Go, Noir",Lenovo,Intel Core i5,i5-1235U,82TT00A5RM,512 GB,8 GB,15.6 Inch,499,bol.com,ORDINATEUR
"MSI Modern 15 H C13M-205NL - Ordinateur portable - 15,6 pouces - 60 Hz",MSI,Intel Core i7,13700H,9S7-15H431-205,1000 GB,16 GB,15.6 Inch,839,bol.com,ORDINATEUR
"DELL Latitude 7420, Intel® Core™ i5, 35,6 cm (14""), 1920 x 1080 pixels, 16 Go, 256 Go, Windows 10 Pro",Dell,Intel Core i5,i5-1135G7,TGVM3,256 GB,16 GB,14 Inch,599,bol.com,ORDINATEUR
Apple MacBook Air (2024) 13.6 - M3 - 24 GB - 512 GB - Minuit,Apple,Apple M3,M3,MC8Q4N/A,512 GB,24 GB,13.6 Inch,1536,bol.com,ORDINATEUR
"Acer Extensa 15 NX.EG8EX.00N, Intel® Core™ i3, 1,2 GHz, 39,6 cm (15.6""), 1366 x 768 pixels, 8 Go, 256 Go",Acer,Intel Core i3,Intel Core i3-1005G1,Extensa EX215,256 GB,8 GB,15.6 Inch,369,bol.com,ORDINATEUR
"ASUS TUF Gaming A15 FA507NUR-LP025W - Ordinateur portable - 15,6"" Full HD - AMD Ryzen 7 7435HS - NVIDIA GeForce RTX 4050 - 16 GB DDR5 - 1 To SSD - Windows 11 Home - QWERTY - Grijs",ASUS,AMD Ryzen 7,7435HS,90NR0JP5-M00190,1000 GB,16 GB,15.6 Inch,1099,bol.com,ORDINATEUR
"Acer Chromebook 314 CB314-3H-C19G, Intel® Celeron®, 1,1 GHz, 35,6 cm (14""), 1920 x 1080 pixels, 4 Go, 64 Go",Acer,Intel Celeron,N5100,NX.KB4EH.005,64 GB,4 GB,14 Inch,319,bol.com,ORDINATEUR
Acer Nitro 16 AN16-42-R9LW - Ordinateur portable de Gaming - 16 pouces - 180 Hz,Acer,AMD Ryzen 7,8845HS,NH.QPKEH.004,512 GB,16 GB,16 Inch,1079,bol.com,ORDINATEUR
Asus - VivoBook S413FF - Ordinateur portable - Intel Core i5 - 8 GB de RAM,ASUS,Intel Core i5,10210U,S413FF-EB034T,256 GB,1 GB,14 Inch,330,bol.com,ORDINATEUR
Lenovo IdeaPad Pro 5 16AHP9 83D5003YMH - Ordinateur portable Creator - 16 pouces,Lenovo,AMD Ryzen 7,8845HS,83D5003YMH,1000 GB,32 GB,16 Inch,1484,bol.com,ORDINATEUR
ASUS ROG Strix G16 G614JI-N3187W,ASUS,Intel Core i7,i7-13650HX,90NR0D41-M00XN0,1000 GB,16 GB,16 Inch,1509,bol.com,ORDINATEUR
"Acer Aspire Go 17 AG17-31P-31FX 17"" FHD, i3-N355, 16 Go, 512 Go, W11",Acer,Intel Core i3,N355,NX.J45EH.002,512 GB,16 GB,17.3 Inch,549,bol.com,ORDINATEUR
HP,HP,,150U,9R8R3UA,512 GB,16 GB,14 Inch,949,bol.com,ORDINATEUR
"HP Pavilion Aero 13-be2011nc AMD Ryzen™ 5 7535U Ordinateur portable 33,8 cm (13.3"") WUXGA 16 GB LPDDR5-SDRAM 512 GB SSD Wi-Fi 6E (802.11ax) Windows 11 Home Argent",HP,AMD Ryzen 5,7535U,AS1J5EA,512 GB,16 GB,13.3 Inch,599,bol.com,ORDINATEUR
"Ordinateur portable Terra Mobile BTO 1716U 17,3"" FullHD - Intel Core i3-1215U - 16 Go - SSD M.2 1,0 To - DVD±RW - Windows 11 Pro",Terra,Intel Core i3,1215U,25152,1000 GB,16 GB,17.3 Inch,799,bol.com,ORDINATEUR
"Lenovo IdeaPad 1 15ALC7 82R400QPMH - Ordinateur portable - 15,6 pouces",Lenovo,AMD Ryzen 5,5500U,82R400QPMH,256 GB,8 GB,15.6 Inch,369,bol.com,ORDINATEUR
"Lenovo V V15, Intel® Core™ i5, 39,6 cm (15.6""), 1920 x 1080 pixels, 8 Go, 256 Go, Windows 11 Pro",Lenovo,Intel Core i5,i5-1235U,82TT00A5RM,512 GB,8 GB,15.6 Inch,539,bol.com,ORDINATEUR
MSI Stealth A16 AI+ A3XVGG-223NL - Ordinateur portable de Gaming - 16 pouces - 240 Hz,MSI,,370,STEALTH A16 AI+ A3XVGG-223NL,2000 GB,32 GB,16 Inch,2799,bol.com,ORDINATEUR
"MSI Cyborg 15 A12VF-003NL-2TB-32GB DDR5 - Gaming - 15,6 pouces - 144 Hz",MSI,Intel Core i7,i7-12650H,MSI Cyborg 15 A12VF-003NL-2TB-32GB,2000 GB,32 GB,15.6 Inch,1349,bol.com,ORDINATEUR
Acer Swift 5 SF514-56T 54LM,MSI,,Processormodel: i5-1240P,-,1000 GB,16 GB,14 Inch,799,bol.com,ORDINATEUR
Acer Aspire 5 A517-53-53V1,Acer,Intel Core i5,i5-12450H,NX.KQBEH.004,512 GB,16 GB,17.3 Inch,799,bol.com,ORDINATEUR
"HP 15s-eq2935nc, AMD Ryzen™ 7, 1,8 GHz, 39,6 cm (15.6""), 1920 x 1080 pixels, 16 Go, 512 Go",HP,AMD Ryzen 7,5700U,A48V5EA,512 GB,16 GB,15.6 Inch,575,bol.com,ORDINATEUR
HP OMEN 17-ck2190nd,HP,Intel Core i9,i9-12900HX,7N441EA#ABH,2000 GB,32 GB,17.3 Inch,4399,bol.com,ORDINATEUR
"HP ProBook 450 G10 - i5-1335U - 16 Go - 512 Go SSD - 15,6"" FHD - W11P - 3 ans Gar. -Verl. Clé. NL",HP,Intel Core i5,1335,725J6EA-NL,512 GB,16 GB,15.6 Inch,789,bol.com,ORDINATEUR
"Apple MacBook Pro 2024 16,2'' - M4 Max, processeur 16 Core , Core 40 cœurs, RAM 48 Go, SSD 1 To, Qwerty, Argent",Apple,Apple M4 Max,Apple M Max 4th Gen,MX2W3N/A,1000 GB,48 GB,16.2 Inch,4679,bol.com,ORDINATEUR
"Lenovo LOQ 15IRX9 83DV00PLMH - Ordinateur portable de Gaming - 15,6 pouces - 144 Hz",Lenovo,Intel Core i7,13650HX,83DV00PLMH,1000 GB,24 GB,15.6 Inch,1149,bol.com,ORDINATEUR
Acer Nitro V 16 ANV16-41-R93Y - Ordinateur portable de Gaming - 16 pouces - 165Hz,Acer,AMD Ryzen 5,8645HS,NH.QP0EH.00F,512 GB,16 GB,16 Inch,1055,bol.com,ORDINATEUR
"Acer Aspire 3 A317-54-5986, Intel® Core™ i5, 43,9 cm (17.3""), 1920 x 1080 pixels, 32 Go, 1 To, Windows 11 Home",Acer,Intel Core i5,i5-1235U,NX.K9YEH.00U,1000 GB,32 GB,17.3 Inch,805,bol.com,ORDINATEUR
